ADM2_CODE,ADM2_NAME,slope_mean,soil_moisture_mean
149277,Region 14,2.3044830810781107,419.85618807379865
149278,Awi/Agew,2.7214396780401042,838.7043121963469
149279,No Name,0.05505999296585468,652.9255657031347
149280,North Gonder,3.856594994909698,576.3491894533196
149281,South Wollo,7.163933677659889,232.08695949035476
149282,Special Woreda,5.370668882656172,106.12671812329056
149283,Kemashi,3.3724199527691994,1304.5260112240492
149284,Agnuak,1.2826323927316998,859.1941821624462
149285,Majang,3.307169899197202,1995.9850802254086
149286,Nuer,0.034508262865102675,601.6213516035306
149287,Arsi,4.310417585517461,382.831597632018
149288,Bale,2.785468518270045,293.82288198806543
149289,East Shewa,1.7110918907811314,272.2699373439952
149290,East Wellega,3.3163870674776272,1155.547002816418
149291,Horo Guduru,4.201900334578606,838.753903898555
149292,Ilubabor,3.241158557380779,1835.9121408222145
149293,Kelem Wellega,3.434534818852228,1259.7854461359573
149294,West Arsi,3.1090106457993505,508.38096494676597
149295,West Wellega,2.222905646079294,1267.4384426930728
149296,Bench Maji,3.936650040360699,1237.2731634336835
149297,Segen Peoples',4.687384558283601,318.8690261586272
149298,Southern,5.101054057166817,282.107925735405
40788,Zone 1,1.70341640620764,2.7480892283835776
40789,Zone 2,2.5396121325981844,13.527062403458261
40792,Zone 3,1.2109648807030329,16.602040586092343
40790,Zone 4,1.803727331215882,24.661410078357836
40791,Zone 5,1.5085379207320124,32.4846950421616
40796,East Gojam,5.4672528260152,351.08094390455784
47682,North Shewa(R3),6.483549414920078,259.1008683359755
40799,North Wollo,6.452401480336908,256.0867718825681
40800,Oromia,3.9041951234917405,113.91354331043134
40801,South Gonder,4.967589337110599,216.42472606073025
40803,Wag Himra,6.229156636208867,275.7657306572714
40804,West Gojam,3.5343014868890723,731.0358169916448
40805,Asosa,2.924633523848757,894.6467978633931
40807,Metekel,2.8913054566637553,1114.1750393572468
40809,Dire Dawa,3.0032505870709576,24.611606873801193
40814,Hareri,3.972212168085276,79.90621210043288
47688,Borena,1.8215227233391806,221.76423181911187
47689,East Harerge,3.6199816619994714,139.47907221385478
47691,Guji,3.216929965354022,650.9050488695343
40822,Jimma,4.034277134577413,1239.6788854102251
47692,North Shewa(R4),4.340192805476904,311.88953221751206
47693,South West Shewa,2.169899985540784,494.37001773772215
40824,West Harerge,4.289885816324017,194.25415846313106
47694,West Shewa,4.649914632445704,587.9136487761216
47695,Alaba,1.5257701546161615,340.7099602018548
47696,Basketo,5.023493369770748,1111.9213980501536
47698,Dawro,7.385918764023367,878.6639119995999
47699,Gamo Gofa,6.710541236647707,665.3501215734904
40831,Gedio,4.5882185763073835,1144.985872674386
47700,Gurage,2.9477355877826774,558.3278230751438
40833,Hadiya,3.0887055479724834,549.9851290100079
47701,Keffa,4.900962683867757,1804.0281936933059
47703,Konta,6.753418853202527,1394.8105548368999
47702,KT,4.3951132027085436,525.534583775979
47705,Selti,2.3184388834318677,445.9505803085639
47704,Sheka,4.630539546670878,2423.6373354755206
40838,Sidama,3.4666720360597063,674.166261905289
40839,South Omo,2.5818660762063446,485.9341043981509
47706,Wolayita,3.6952149906744864,471.1686157822992
40840,Yem,7.858170171066821,720.8709280335553
40841,Afder,0.9463573604134269,97.36877641734823
40849,Doolo,0.25273474098447657,14.347414333700673
40845,Fafan,1.2392574089729398,22.65904211550064
40842,Jarar,0.5850421903429676,24.688956667723602
47708,Korahe,0.6511903820882078,78.38615137677922
47709,Liben,1.7710479523340503,131.6463630902708
47707,Nogob,1.6452433168033098,73.4412761228146
40844,Shabelle,0.8467230603783582,75.05987793048808
40848,Siti,1.1545584424695878,2.5983598024016517
40850,Central,4.154893646343359,262.1598688923912
40851,Eastern,5.694393117632688,176.00153271542567
47710,North Western,3.5564523598507503,311.7906843068132
47711,Western,3.0013223446989223,195.38315463954964
