ADM2_CODE,ADM2_NAME,ndvi_mean,dist_to_river_m
149277,Region 14,0.33284316978667805,1110.7034730611215
149278,Awi/Agew,0.5297825816536298,1243.9884943290783
149279,No Name,-0.07855399522048755,1384.3325607788631
149280,North Gonder,0.44127750006293825,1403.9338091097165
149281,South Wollo,0.3960651176180308,1399.7710644593283
149282,Special Woreda,0.42987059198028377,1091.096023703315
149283,Kemashi,0.5789357105388646,1250.5314661735927
149284,Agnuak,0.641782365643262,1363.7541276223183
149285,Majang,0.7826034983353065,1262.0561808982375
149286,Nuer,0.5806737967151543,1512.030421712269
149287,Arsi,0.4605611807120156,1345.6632866906389
149288,Bale,0.43002450636084155,1375.3422724028812
149289,East Shewa,0.3406432093528271,1377.3425403142905
149290,East Wellega,0.5759307656480204,1143.946832223203
149291,Horo Guduru,0.5322448563989927,1256.8779562853265
149292,Ilubabor,0.691541818514929,1258.4966176674648
149293,Kelem Wellega,0.6395781099885914,1240.4552100925123
149294,West Arsi,0.481500945054762,1248.010668041048
149295,West Wellega,0.6199160293990954,1208.6620615288107
149296,Bench Maji,0.6291104786200747,1462.275933890114
149297,Segen Peoples',0.48770793471364954,1399.1794987297524
149298,Southern,0.33074131775378973,1446.7444449194995
40788,Zone 1,0.1440874688337753,1308.902532341298
40789,Zone 2,0.10565982214361977,1225.7238384806142
40792,Zone 3,0.25410564973492517,1267.6430192580087
40790,Zone 4,0.18458639719084807,1315.2167225544417
40791,Zone 5,0.2606519187329846,1166.0759848153277
40796,East Gojam,0.43061678488200283,1303.6119526958305
47682,North Shewa(R3),0.404850024394724,1378.4035778551327
40799,North Wollo,0.3809200676928626,1419.0925395974714
40800,Oromia,0.4333615742378711,1324.366247706319
40801,South Gonder,0.37763974989318316,1339.8905987402761
40803,Wag Himra,0.2854659100539688,1409.2238461869042
40804,West Gojam,0.4841796088207886,1286.3132698426696
40805,Asosa,0.5855947769663767,1392.3900527752899
40807,Metekel,0.561780964903073,1347.8273507444833
40809,Dire Dawa,0.301004054913902,1064.0137556385828
40814,Hareri,0.447420673586464,1408.6134739693439
47688,Borena,0.39173984002481843,1402.4364337877726
47689,East Harerge,0.41571121934331573,1513.2236420700729
47691,Guji,0.4957438003700873,1373.2548824368196
40822,Jimma,0.6293663245268514,1136.5508486870494
47692,North Shewa(R4),0.43163132357883416,1352.6546574917247
47693,South West Shewa,0.4356639926249852,1206.0707277579706
40824,West Harerge,0.43432792751134824,1476.2580479250757
47694,West Shewa,0.5031183258975556,1329.7007156331597
47695,Alaba,0.4007627308257947,1563.8722973635752
47696,Basketo,0.615677482226,1347.998730861553
47698,Dawro,0.6185918469241778,1449.8733269148386
47699,Gamo Gofa,0.5119351254693381,1505.6342600402536
40831,Gedio,0.6276846095129932,1443.0087578093226
47700,Gurage,0.5111348806239333,1078.0326458024535
40833,Hadiya,0.4956326137213422,1067.0682351017963
47701,Keffa,0.686640095815228,1358.3866411891536
47703,Konta,0.6678873219667735,1388.743513963447
47702,KT,0.5201794194015412,1304.9048671023625
47705,Selti,0.4326578801979846,1311.9773527444338
47704,Sheka,0.7361787258489761,1350.9536853321617
40838,Sidama,0.5677669551976539,1279.4518879924556
40839,South Omo,0.47078816727676037,1377.6094923213432
47706,Wolayita,0.4872536587188372,1326.1171728094425
40840,Yem,0.5436858397493218,1287.5663478185552
40841,Afder,0.255541293482255,1364.2530774710438
40849,Doolo,0.25756297819684637,1253.457347549143
40845,Fafan,0.2743813630435785,1547.4696158355116
40842,Jarar,0.23001125728127075,1393.3892956545035
47708,Korahe,0.27051845920614703,1378.7067252389566
47709,Liben,0.3437067730547441,1360.4983800340963
47707,Nogob,0.270865152353262,1496.9640921757125
40844,Shabelle,0.22682835109805655,1334.9096897014806
40848,Siti,0.16992238961986297,1224.919379640023
40850,Central,0.29534722993159984,1429.5652979319962
40851,Eastern,0.2904808135678647,1456.6864902534282
47710,North Western,0.35213815826103567,1379.01187259121
47711,Western,0.4198293948327083,1377.7459265744876
